genre,avg_imdb_rating_outof10
"Action, Adventure, Fantasy",8.7
"Comedy, Drama, Thriller",8.6
"Action, Sci-Fi",8.4
"Drama, Mystery, War",8.4
"Drama, Musical",8.4
"Animation, Drama, Fantasy",8.4
"Adventure, Mystery, Thriller",8.3
"Drama, Fantasy, Horror",8.3
"Drama, Thriller, War",8.3
Western,8.3
"Crime, Drama, Music",8.3
"Comedy, Musical, Romance",8.3
"Adventure, Drama, Sci-Fi",8.2
"Comedy, Music, Romance",8.2
"Adventure, Drama, Thriller",8.2
"Drama, Fantasy, History",8.2
"Crime, Drama",8.2
"Adventure, Sci-Fi",8.2
"Drama, Family",8.2
"Adventure, Drama, War",8.2
"Action, Comedy, Romance",8.2
"Drama, Film-Noir",8.1
"Comedy, Crime, Romance",8.1
"Horror, Mystery, Thriller",8.1
"Action, Drama, War",8.1
"Comedy, Drama, War",8.1
"Crime, Mystery, Thriller",8.1
"Comedy, Romance",8.1
"Horror, Mystery, Sci-Fi",8.1
"Film-Noir, Mystery, Thriller",8.1
"Drama, Music, Romance",8.1
"Adventure, Comedy, Sci-Fi",8.1
"Biography, Comedy, Drama",8.1
"Adventure, Drama, Musical",8.1
"Adventure, Drama, History",8.1
"Action, Adventure",8.1
"Animation, Adventure, Drama",8.1
"Adventure, Drama",8.1
"Drama, Fantasy",8.1
"Animation, Action, Adventure",8.1
"Drama, Mystery, Sci-Fi",8.1
"Comedy, Drama, Musical",8.1
"Crime, Drama, Fantasy",8.1
"Drama, Sci-Fi",8.1
"Fantasy, Horror, Mystery",8.1
"Drama, Romance, Thriller",8.1
"Drama, History, Romance",8.1
"Animation, Adventure, Family",8.1
"Crime, Drama, Thriller",8.0
"Action, Adventure, Drama",8.0
"Drama, Thriller",8.0
"Comedy, Crime, Mystery",8.0
"Drama, Mystery",8.0
"Crime, Drama, Mystery",8.0
"Biography, Drama",8.0
"Film-Noir, Mystery",8.0
"Action, Drama, Thriller",8.0
"Animation, Biography, Drama",8.0
"Crime, Drama, Musical",8.0
"Adventure, Drama, Western",8.0
"Action, Drama, Western",8.0
"Animation, Crime, Mystery",8.0
"Crime, Drama, Film-Noir",8.0
"Action, Drama, Mystery",8.0
"Drama, History",8.0
"Animation, Comedy, Drama",8.0
"Crime, Drama, Horror",8.0
"Adventure, Biography, Drama",8.0
"Drama, Film-Noir, Mystery",8.0
"Action, Adventure, Sci-Fi",8.0
"Drama, Western",8.0
"Drama, War",8.0
"Comedy, Drama, Music",8.0
"Animation, Action, Crime",8.0
"Action, Crime, Comedy",8.0
"Mystery, Thriller",8.0
"Biography, Drama, History",8.0
"Adventure, Thriller",8.0
"Animation, Adventure, Comedy",8.0
"Comedy, Crime, Thriller",8.0
"Drama, Romance, Sci-Fi",8.0
"Action, Comedy, Crime",8.0
"Action, Adventure, Comedy",8.0
"Action, Adventure, History",7.9
"Comedy, Crime, Drama",7.9
"Drama, Music, Mystery",7.9
"Comedy, Drama",7.9
"Comedy, Fantasy, Romance",7.9
"Action, Drama",7.9
"Animation, Drama, Family",7.9
"Drama, Horror",7.9
"Drama, Thriller, Western",7.9
"Action, Biography, Drama",7.9
"Drama, Mystery, Romance",7.9
"Comedy, Drama, Fantasy",7.9
"Drama, Fantasy, Mystery",7.9
"Drama, Sport",7.9
Horror,7.9
"Action, Mystery, Thriller",7.9
"Crime, Film-Noir, Mystery",7.9
Drama,7.9
"Action, Crime, Drama",7.9
"Drama, Romance",7.9
"Biography, Drama, War",7.9
"Biography, Crime, Drama",7.9
"Action, Adventure, Horror",7.9
"Comedy, Drama, Family",7.9
"Crime, Thriller",7.9
"Adventure, Drama, Fantasy",7.9
"Drama, Music",7.9
"Fantasy, Horror",7.9
"Action, Thriller",7.9
Comedy,7.9
"Adventure, Comedy, Fantasy",7.9
"Action, Comedy, Fantasy",7.8
"Drama, History, War",7.8
"Animation, Biography, Crime",7.8
"Comedy, Drama, Romance",7.8
"Biography, Drama, Sport",7.8
"Adventure, Comedy, Film-Noir",7.8
"Drama, Fantasy, Romance",7.8
"Drama, Mystery, Thriller",7.8
"Drama, Family, Musical",7.8
"Horror, Thriller",7.8
"Action, Crime, Thriller",7.8
"Adventure, Family, Fantasy",7.8
"Action, Drama, History",7.8
"Comedy, Crime",7.8
"Biography, Drama, Family",7.8
"Drama, Horror, Sci-Fi",7.8
"Drama, History, Thriller",7.8
"Adventure, Fantasy",7.8
"Drama, Horror, Thriller",7.8
"Adventure, Comedy, Family",7.8
"Comedy, Family, Romance",7.8
"Adventure, Comedy, Drama",7.8
"Drama, Music, Musical",7.8
"Comedy, Family",7.8
"Film-Noir, Thriller",7.8
"Comedy, Horror",7.8
"Adventure, Biography, Crime",7.8
"Comedy, Music, Musical",7.8
"Comedy, War",7.7
"Animation, Comedy, Fantasy",7.7
"Drama, Family, Fantasy",7.7
"Biography, Drama, Music",7.7
"Crime, Drama, Romance",7.7
"Adventure, Drama, Romance",7.7
"Drama, History, Music",7.7
"Animation, Family, Fantasy",7.7
"Biography, Drama, Thriller",7.7
"Adventure, Comedy, Crime",7.7
"Biography, Drama, Romance",7.7
"Action, Adventure, Thriller",7.7
"Comedy, Western",7.7
"Action, Adventure, War",7.7
"Drama, Sci-Fi, Thriller",7.7
"Action, Biography, Crime",7.6
"Mystery, Sci-Fi, Thriller",7.6
"Adventure, Comedy, War",7.6
"Animation, Drama, Romance",7.6
"Animation, Comedy, Crime",7.6
"Action, Crime, Mystery",7.6
"Drama, Romance, War",7.6
"Action, Adventure, Mystery",7.6
