decade_released,genre,no_of_movies
1930s,"Drama, Horror, Sci-Fi",2
1930s,"Drama, War",2
1940s,"Comedy, Drama, Romance",2
1950s,"Comedy, Drama, Romance",2
1950s,"Crime, Drama",2
1950s,"Crime, Drama, Film-Noir",3
1950s,Drama,5
1950s,"Drama, Film-Noir",2
1960s,"Adventure, Biography, Drama",2
1960s,"Adventure, Sci-Fi",2
1960s,Comedy,2
1960s,"Crime, Drama, Mystery",3
1960s,Drama,4
1960s,"Drama, Horror",2
1960s,"Drama, Horror, Thriller",3
1960s,"Drama, Thriller",3
1960s,"Drama, War",2
1970s,"Action, Crime, Drama",2
1970s,"Action, Crime, Thriller",2
1970s,Comedy,3
1970s,"Comedy, Crime, Drama",3
1970s,"Comedy, Drama, Romance",2
1970s,Drama,2
1980s,"Action, Adventure",2
1980s,"Action, Adventure, Sci-Fi",2
1980s,"Adventure, Comedy, Sci-Fi",2
1980s,"Adventure, Drama",2
1980s,"Biography, Drama",2
1980s,Comedy,2
1980s,"Comedy, Crime, Drama",3
1980s,"Comedy, Drama",2
1980s,Drama,5
1990s,"Action, Crime, Thriller",2
1990s,"Biography, Crime, Drama",2
1990s,"Comedy, Drama",5
1990s,"Comedy, Drama, Family",2
1990s,"Comedy, Drama, Romance",2
1990s,"Crime, Drama",4
1990s,"Crime, Drama, Mystery",3
1990s,"Crime, Drama, Thriller",6
1990s,Drama,8
1990s,"Drama, Romance",4
2000s,"Action, Adventure, Drama",5
2000s,"Action, Adventure, Sci-Fi",2
2000s,"Action, Biography, Drama",2
2000s,"Action, Crime, Drama",6
2000s,"Action, Crime, Thriller",2
2000s,"Action, Drama, Mystery",2
2000s,"Action, Mystery, Thriller",3
2000s,"Adventure, Family, Fantasy",2
2000s,"Animation, Adventure, Comedy",3
2000s,"Animation, Adventure, Family",3
2000s,"Animation, Comedy, Drama",2
2000s,"Biography, Crime, Drama",4
2000s,"Biography, Drama",2
2000s,"Biography, Drama, History",3
2000s,"Biography, Drama, Sport",2
2000s,"Comedy, Crime, Drama",3
2000s,"Comedy, Drama",5
2000s,"Crime, Drama",3
2000s,"Crime, Drama, Fantasy",2
2000s,"Crime, Drama, Mystery",5
2000s,"Crime, Drama, Thriller",6
2000s,"Crime, Thriller",2
2000s,Drama,9
2000s,"Drama, Fantasy, Romance",2
2000s,"Drama, Music",3
2000s,"Drama, Mystery, Romance",3
2000s,"Drama, Romance",4
2000s,"Drama, Sport",2
2010s,"Action, Adventure, Comedy",3
2010s,"Action, Adventure, Drama",2
2010s,"Action, Adventure, Sci-Fi",7
2010s,"Action, Adventure, Thriller",2
2010s,"Action, Comedy, Crime",3
2010s,"Action, Crime, Drama",7
2010s,"Action, Drama",2
2010s,"Adventure, Drama, Sci-Fi",2
2010s,"Adventure, Fantasy",2
2010s,"Animation, Action, Adventure",4
2010s,"Animation, Adventure, Comedy",6
2010s,"Biography, Comedy, Drama",3
2010s,"Biography, Crime, Drama",3
2010s,"Biography, Drama, History",4
2010s,"Biography, Drama, Sport",2
2010s,"Comedy, Drama",5
2010s,"Comedy, Drama, Romance",3
2010s,"Crime, Drama, Mystery",6
2010s,"Crime, Drama, Thriller",2
2010s,Drama,13
2010s,"Drama, Mystery, Thriller",2
2010s,"Drama, Romance",6
2010s,"Drama, Sport",2
2010s,"Drama, War",2
2010s,"Drama, Western",2
2010s,"Mystery, Thriller",2
