title,director,release_year,certificate,genre,imdb_rate,meta_score
"Rear Window","Alfred Hitchcock",1954,U,"Mystery, Thriller",8.4,100
"Lawrence of Arabia","David Lean",1962,U,"Adventure, Biography, Drama",8.3,100
"Citizen Kane","Orson Welles",1941,UA,"Drama, Mystery",8.3,100
"Fanny och Alexander","Ingmar Bergman",1982,A,Drama,8.1,100
"Il conformista","Bernardo Bertolucci",1970,UA,Drama,8.0,100
"Sweet Smell of Success","Alexander Mackendrick",1957,Approved,"Drama, Film-Noir",8.0,100
Boyhood,"Richard Linklater",2014,A,Drama,7.9,100
"Singin' in the Rain","Stanley Donen",1952,G,"Comedy, Musical, Romance",8.3,99
"Touch of Evil","Orson Welles",1958,PG-13,"Crime, Drama, Film-Noir",8.0,99
"The Night of the Hunter","Charles Laughton",1955,,"Crime, Drama, Film-Noir",8.0,99
